temperature,pressure,voltage,throughput,iso_anomaly,ae_anomaly,svm_anomaly
72.48357076505616,27.964515808538334,223.48286247666817,84.15542425951675,0,0,0
69.30867849414408,29.08350161083904,222.83323592535666,91.56011482450502,0,0,0
73.23844269050346,28.20785681686457,210.63480154194508,95.30377274965932,0,0,0
77.61514928204012,30.331254140838357,225.7958422176374,101.19735128739754,0,0,0
68.82923312638331,33.59153559438574,205.0991732442338,108.19329861285503,0,0,0
68.8293152152541,27.686873528576385,213.4581567423967,105.55308754697411,0,0,0
77.89606407753696,33.00246149330524,200.00912187102193,90.56540161242012,0,0,0
73.83717364576455,27.654983782959338,235.58626516962815,97.02630190267477,0,0,0
67.65262807032524,27.45711836250935,217.68450506054705,100.61100470962053,0,0,0
72.71280021792982,32.45578385502964,241.66884034816312,97.902343004428,0,0,0
67.68291153593769,32.76580913402285,228.02949926519494,97.84563819305365,0,0,0
67.67135123214871,32.554229810287964,224.48098213351025,86.21805340276583,0,0,0
71.20981135783018,26.052607775345578,214.13772305719002,90.77812679088288,0,0,0
60.43359877671101,28.602147065783846,209.5364996431258,96.77648120688582,0,0,0
61.375410837434835,32.468965776009966,225.22971573896945,75.2541946004387,0,0,1
67.18856235379513,30.124625521691684,219.28485990727017,105.12515456007884,0,0,0
64.93584439832789,26.778921461407606,206.607296845147,89.01856720231144,0,0,0
71.57123666297637,31.374953817376326,204.8314158349168,105.4947050661211,0,0,0
65.45987962239394,27.85557822302559,210.41296270856415,104.79132803576728,0,0,0
78.19475994387004,22.10798363267071,238.2096722526623,95.65045565510093,0,0,0
77.32824384460777,34.63452438725478,242.13277918011303,108.0043866056123,0,0,0
68.87111849756732,31.812292279066703,222.0498914730891,105.94557875939947,0,0,0
70.33764102343962,34.08302011430932,221.4894279624129,97.52830823332287,0,0,0
62.87625906893272,30.194374050370143,216.6367962817048,96.62592307846641,0,0,0
67.27808637737408,32.29631248312505,210.65514651690498,108.77786228531485,0,0,0
